\,SWC Type,Assigned value,Average branch length,Average contraction,Average fragmentation,Average remote bif. angle,Average partition asymmetry,Average fractal dimension,Average spine/varicosity density,Depth,Height,Highest path order,Cable length,Mean radius,No. of branch points,No. of branches,No. of fitted paths,No. of nodes,No. of paths,No. of primary branches,No. of inner branches,No of spines/varicosities,No. of terminal branches,No. of tips,Length of primary branches (sum),Length of inner branches (sum),Length of terminal branches (sum),Horton-Strahler number,Horton-Strahler bifurcation ratio,Width,Sholl: Centroid,Sholl: Centroid radius,Sholl: Decay,Sholl: Enclosing radius,Sholl: Intercept,Sholl: Kurtosis,Sholl: Max,Sholl: Max (fitted),Sholl: Max (fitted) radius,Sholl: Mean,Sholl: Median,Sholl: No. maxima,Sholl: No. secondary maxima,Sholl: Degree of Polynomial fit,Sholl: Skeweness,Sholl: Sum,Sholl: Variance
Chat-IRES-Cre-neo_Ai14-280699.05.02.01_570681325_m,Undefined,0.0,39.87228737537807,0.9043738394107037,35.25954198473283,79.56333452754691,0.5648526171960346,1.030041363109321,0.0,85.24459999999999,540.7950999999999,14,5223.269646174526,0.0785769564388913,65,131,0,4489,67,3,11,0,67,67,157.964961111754,335.7292724487131,2955.695526738528,4,2.1378066378066376,375.68160000000006,8.962162162162162,215.76912094297398,0.024954639363017957,431.53824188594785,-9.469611706732586,-0.5463114492587149,29.0,24.739780563807646,104.08374939796575,8.962162162162173,5.0,1,0,20,0.9590440097529956,3316.0,60.37254815791385
Chat-IRES-Cre-neo_Ai14-287662.04.02.01_614444566_m,Undefined,0.0,39.52474301487577,0.8910013357758669,35.285714285714285,71.99804737545583,0.6142492331600445,1.029564190900959,0.0,59.29,983.9631,11,4426.771217666083,0.10191984103752574,56,112,0,3841,57,2,5,0,57,57,186.69937236133492,218.46255945023,2305.066353034187,4,2.318253968253968,292.8926,6.3982683982683985,267.3825432130035,3.21715331410576,534.765086426007,1.3231397361066983,-0.5099565274246891,17.0,13.75841272946125,99.76094887773665,6.398268398268408,6.0,1,1,20,0.27825812874470707,2956.0,13.788977472274638
Chat-IRES-Cre-neo_Ai14-299537.04.02.01_614430666_m,Undefined,0.0,42.01618843939036,0.9023359742001448,37.03478260869565,72.19765281304264,0.5634631195677707,1.0256252237830492,0.0,110.8528,675.1417,11,4831.861670529891,0.08572440810223773,57,115,0,4145,59,3,5,0,59,59,133.30278507700532,160.69378672721422,2360.894164581044,5,2.641511387163561,365.95419999999996,6.7368421052631575,255.40270009588087,3.1772900185624073,510.80540019176175,1.1734636755246866,0.05522775662230206,21.0,17.903362359158336,105.44148169096,6.736842105263165,5.0,1,0,20,0.973370226556013,2944.0,21.176001931434104
Chat-IRES-Cre-neo_Ai14-307622.05.02.01_610885676_m,Undefined,0.0,33.79944737933204,0.8881274537402853,29.96934865900383,87.38998900354024,0.6068606460260714,1.031920171517962,0.0,84.8193,701.7669,12,8821.655766005659,0.06656366725545079,128,261,0,7562,134,3,3,0,134,134,431.7789652908888,55.96546782974191,4973.214395526665,5,3.090305892937472,643.0435,12.628235294117648,249.85605483020868,0.021003429372828595,499.7121096604174,-9.602101884099568,-1.122460275272216,32.0,21.930377621284514,81.32107444945471,12.628235294117646,15.0,1,0,20,-0.15411066595458747,5367.0,52.88976692563805
Chat-IRES-Cre-neo_Ai14-308245.04.02.01_605859502_m,Undefined,0.0,32.58599486790763,0.875119896253398,29.552542372881355,84.45280931142979,0.6001784727539723,1.0382160203149402,0.0,79.7004,689.0506,15,9612.868486032761,0.06624348153114991,145,295,0,8424,151,3,2,0,151,151,210.91571483733563,38.51420086580851,4933.421107864673,5,3.877780752753978,701.4299,11.827655310621243,286.445958832362,3.2616026056820644,572.8919176647242,2.1695896235387298,-0.8697100571490992,33.0,25.398069388348787,119.64007919102676,11.827655310621282,10.0,1,0,20,0.46074966525882904,5902.0,58.78148264400273
Chat-IRES-Cre-neo_Ai14-308247.03.02.01_648990126_m,Undefined,0.0,36.04823893393631,0.8842959571271374,31.338541666666668,79.87370868776735,0.47156560034073247,1.0309466642359761,0.0,138.4051,531.9436000000001,7,6921.261875315775,0.07730106401884299,95,192,0,5826,98,4,1,0,98,98,112.31439808014211,44.795503153518766,3431.8694208143474,5,3.8265086206896552,594.5731999999999,11.833827893175075,201.50217033266324,3.0713351232887227,403.0043406653265,1.2395477505903858,-0.83578453504939,28.0,23.587912336831284,105.54875588853788,11.833827893175062,9.0,1,0,20,0.5863873164374126,3988.0,39.98420941076722
Chat-IRES-Cre-neo_Ai14-308248.03.02.01_610885758_m,Undefined,0.0,50.5504226289524,0.8596384203601063,43.88172043010753,63.834095204572556,0.5774596615505706,1.037522068439524,0.0,95.06750000000001,524.0799,7,4701.189304492575,0.135155884179716,45,93,0,3989,49,5,3,0,49,49,420.0354124846059,68.79845713282292,2669.162103404969,4,2.6956018518518516,474.937,9.13738019169329,185.10844143426235,3.0784653561045645,370.2168828685247,0.9737776676990203,-0.3200260158139807,23.0,21.284698899403217,96.11399843702083,9.137380191693286,7.0,1,0,20,0.8170877734185356,2860.0,29.87529696076023
Chat-IRES-Cre-neo_Ai14-313177.04.02.01_608105841_m,Undefined,0.0,47.59343522126298,0.8866372823783677,42.74561403508772,67.42775823705763,0.5133760894043955,1.033978802321845,0.0,110.2758,512.0212,12,5425.651615223982,0.09384127288106939,57,114,0,4760,58,2,4,0,58,58,96.0020546454481,75.83893291868395,3374.289926702066,4,2.6982570806100217,719.4192,6.80827067669173,304.44776198833176,3.523445967953152,608.8955239766636,2.8822376895691093,-0.7478001824315883,23.0,19.550351906942932,118.10967790884435,6.808270676691724,4.0,1,0,20,0.895347398738212,3622.0,38.757897568780784
Chat-IRES-Cre-neo_Ai14-313181.04.02.01_610885831_m,Undefined,0.0,36.54247570574448,0.8770070915886833,32.785185185185185,72.39732364142915,0.5823485102537644,1.037063135408018,0.0,111.6816,365.36629999999997,9,4933.234220275504,0.07578727732888481,67,135,0,4292,69,2,4,0,69,69,116.43924173354341,58.49478548167831,2631.500785067991,5,2.4145833333333333,621.315,11.314685314685315,165.15136070079117,2.596989522283875,330.30272140158235,-1.2369080858740744,-0.9878673547173884,25.0,23.293218388721932,214.4070296817289,11.314685314685304,10.5,1,0,20,0.19045078456830228,3236.0,46.623432707643296
Chat-IRES-Cre-neo_Ai14-313182.03.01.01_623853389_m,Undefined,0.0,43.0472268986652,0.8576963635525782,37.583333333333336,88.25844280114092,0.5300236116766037,1.0422596684258327,0.0,104.4067,326.208,14,7231.93411897575,0.10072690393676291,83,168,0,6147,86,2,2,0,86,86,84.24184185903036,28.778693304664756,4327.475611208099,5,2.7778186274509804,497.4273,16.532567049808428,154.4549547184466,0.03474211544510906,308.90990943689314,-7.817483626846459,-1.1190477037969002,45.0,38.082122735096036,57.029521742195655,16.532567049808417,13.0,1,0,20,0.40540478640534594,4315.0,133.05758915414086
Chat-IRES-Cre-neo_Ai14-313182.04.02.01_610885878_m,Undefined,0.0,32.29303456717017,0.8653754258577581,28.641732283464567,80.55169826261697,0.594802588084432,1.0435482986793947,0.0,108.5997,642.6294,14,8202.430780061213,0.06640144417445298,127,254,0,7022,128,2,9,0,128,128,61.79741520671981,211.39095227350114,3903.3394723257697,5,2.767134818504682,451.59729999999996,10.370212765957447,276.1082772842596,3.1941219347298517,552.2165545685192,1.6919808612491345,0.5197706764905008,35.0,27.805516766950657,70.64604109618583,10.370212765957422,9.0,1,1,20,0.9683310734848131,4874.0,46.42128566891994
Chat-IRES-Cre-neo_Ai14-313182.05.02.01_610885933_m,Undefined,0.0,40.39358652204239,0.908107191526298,36.142857142857146,63.73552722529814,0.509170305169231,1.0257495459784851,0.0,54.0666,593.6407,8,3958.5714791601563,0.09120635256234928,49,98,0,3445,50,2,2,0,50,50,28.523783129202766,130.46721834884872,1917.7355669617007,4,4.113756613756614,404.19010000000003,6.22737819025522,248.70774587672503,3.1603765482227733,497.41549175344994,0.9540645271166118,-0.20010167828380965,17.0,15.210189270241582,166.57635072673673,6.227378190255233,5.0,1,0,20,0.739149599497778,2684.0,17.129574272918585
Chat-IRES-Cre-neo_Ai14-316041.04.02.01_610885974_m,Undefined,0.0,41.319999868988056,0.904172931382778,36.9375,71.89287964896161,0.5177357229491375,1.02799997659955,0.0,117.5672,569.1768999999999,7,5288.9599832304675,0.09101654589214754,64,128,0,4601,65,2,6,0,65,65,72.02254080736799,206.07430194346063,2713.19724689534,5,2.271510840108401,292.6798,11.865724381625443,163.02179639754434,0.03040299153425487,326.04359279508867,-8.661788807864415,-1.1536939623890916,29.0,22.415407274714077,166.49034525706656,11.865724381625432,14.0,1,1,20,0.0952492292125317,3358.0,52.868430945041716
Chat-IRES-Cre-neo_Ai14-316042.03.01.01_610873063_m,Undefined,0.0,36.374879582676215,0.8815384095248749,32.413223140495866,84.46327615932421,0.6100658171894248,1.0373608557786373,0.0,120.9346,835.4838,13,8802.72085900765,0.06681748275393035,121,242,0,7603,122,2,4,0,122,122,85.74341589647955,141.8981075388309,4694.844305957195,5,2.7393504140786753,249.09000000000003,9.097602739726028,339.89075183330783,3.144526284596717,679.7815036666157,1.2774347681386247,-1.4445208014723254,19.0,16.471690894679103,74.62438462206416,9.097602739726055,11.0,1,0,20,-0.17637980975885623,5313.0,29.412412768157097
Chat-IRES-Cre-neo_Ai14-316042.05.01.01_605541518_m,Undefined,0.0,34.037157427903054,0.8737129516238816,30.74390243902439,83.26267391971868,0.5613201434593712,1.039319658027773,0.0,93.7807,719.8155999999999,10,5582.093818176102,0.0731945639649884,82,164,0,4879,83,2,1,0,83,83,46.3264330712197,22.054545132341335,2922.335963532661,5,3.841398680684395,283.663,8.36298076923077,239.04592336407612,3.5377031895771287,478.09184672815206,3.083157976803709,-0.45002248830774727,24.0,20.555026383095413,43.77708476065007,8.362980769230802,8.0,1,0,20,0.41583128805870706,3479.0,33.11852988878589
Chat-IRES-Cre-neo_Ai14-316042.05.02.01_639670635_m,Undefined,0.0,43.07245317440305,0.8926428483268166,37.96610169491525,71.36515925590184,0.5739469584891703,1.0298694948470832,0.0,90.62950000000001,733.1365,11,7623.824211869335,0.09999390429720664,88,177,0,6544,90,3,1,0,90,90,150.6569641928726,12.599580414404361,4022.07442440584,5,3.9086609336609337,494.9626999999999,10.64179104477612,274.84021162492616,0.021134620066185304,549.6804232498523,-9.736064378767844,-0.9698642513945828,31.0,28.19324456818905,231.38257132525834,10.641791044776145,7.0,1,0,20,0.5998577908200728,4991.0,81.40560020410773
Chat-IRES-Cre-neo_Ai14-316042.06.01.01_636787957_m,Undefined,0.0,45.145743988663206,0.8475364267979552,40.00420168067227,80.06727752340652,0.5687196534396606,1.0439706330428087,0.0,77.5925,726.2021,21,10744.687069301843,0.0946956339086816,116,238,0,9284,123,2,3,0,123,123,32.07955336317791,48.54227695720347,5989.250883040486,5,3.0479166666666666,385.488,15.847058823529412,246.61565399341498,0.021104896943465262,493.23130798683,-9.33520305187687,-0.8706846356655307,34.0,29.429376094507166,81.4296970732974,15.847058823529412,18.0,1,0,20,-0.23411195620026684,6735.0,70.06853496115436
