"nrx-1","mir-1","unc-49","nlg-1","unc-25","unc-97","lim-6","lat-2","ptp-3","sup-17","pkd-2"
"folder_2016-10-15_file_525 day 36-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-15_file_525 day 3_1-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-15_file_525 day 3_2-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-15_file_525 day 3_3-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-15_file_525 day 3_4-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-15_file_525 day 3_5-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-15_file_525 nrx1 wy778 day 3_1-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-15_file_525 nrx1 wy778 day 3_10-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-15_file_525 nrx1 wy778 day 3_2-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-15_file_525 nrx1 wy778 day 3_3-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-15_file_525 nrx1 wy778 day 3_4-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-15_file_525 nrx1 wy778 day 3_5-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-15_file_525 nrx1 wy778 day 3_6-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-15_file_525 nrx1 wy778 day 3_7-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-15_file_525 nrx1 wy778 day 3_8-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-15_file_525 nrx1 wy778 day 3_9-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-18_file_525 day37-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-18_file_525 day3_1-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-18_file_525 day3_2-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-18_file_525 day3_3-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-18_file_525 day3_4-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-18_file_525 day3_5-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-18_file_525 day3_6-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-18_file_525 nrx wy778 day3_1-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-18_file_525 nrx wy778 day3_2-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-18_file_525 nrx wy778 day3_3-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-18_file_525 nrx wy778 day3_4-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-18_file_525 nrx wy778 day3_5-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-18_file_525 nrx wy778 day3_6-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-18_file_525 nrx wy778 day3_7-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-18_file_525 nrx wy778 day3_8-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-18_file_525 nrx wy778 day3_9-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-21_file_525 day 3_1-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-21_file_525 day 3_2-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-21_file_525 nrx wy778 day 3_1-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-21_file_525 nrx wy778 day 3_2-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-21_file_525 nrx wy778 day 3_3-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-21_file_525 nrx wy778 day 3_4-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-21_file_525 nrx wy778 day 3_5-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-21_file_525 nrx wy778 day 3_6-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-21_file_541 day 3_1-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-21_file_541 day 3_2-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-21_file_541 day 3_3-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
