cell_name,nrx-1,mir-1,unc-49,nlg-1,unc-25,unc-97,lim-6,lat-2,ptp-3,sup-17,pkd-2,day
folder_2016-10-15_file_525 day36-exported,0,0,0,0,0,0,0,0,0,0,0,3
folder_2016-10-15_file_525 day3_1-exported,0,0,0,0,0,0,0,0,0,0,0,3
folder_2016-10-15_file_525 day3_2-exported,0,0,0,0,0,0,0,0,0,0,0,3
folder_2016-10-15_file_525 day3_3-exported,0,0,0,0,0,0,0,0,0,0,0,3
folder_2016-10-15_file_525 day3_4-exported,0,0,0,0,0,0,0,0,0,0,0,3
folder_2016-10-15_file_525 day3_5-exported,0,0,0,0,0,0,0,0,0,0,0,3
folder_2016-10-15_file_525 nrx1 wy778 day3_1-exported,1,0,0,0,0,0,0,0,0,0,0,3
folder_2016-10-15_file_525 nrx1 wy778 day3_10-exported,1,0,0,0,0,0,0,0,0,0,0,3
folder_2016-10-15_file_525 nrx1 wy778 day3_2-exported,1,0,0,0,0,0,0,0,0,0,0,3
folder_2016-10-15_file_525 nrx1 wy778 day3_3-exported,1,0,0,0,0,0,0,0,0,0,0,3
folder_2016-10-15_file_525 nrx1 wy778 day3_4-exported,1,0,0,0,0,0,0,0,0,0,0,3
folder_2016-10-15_file_525 nrx1 wy778 day3_5-exported,1,0,0,0,0,0,0,0,0,0,0,3
folder_2016-10-15_file_525 nrx1 wy778 day3_6-exported,1,0,0,0,0,0,0,0,0,0,0,3
folder_2016-10-15_file_525 nrx1 wy778 day3_7-exported,1,0,0,0,0,0,0,0,0,0,0,3
folder_2016-10-15_file_525 nrx1 wy778 day3_8-exported,1,0,0,0,0,0,0,0,0,0,0,3
folder_2016-10-15_file_525 nrx1 wy778 day3_9-exported,1,0,0,0,0,0,0,0,0,0,0,3
folder_2016-10-18_file_525 day37-exported,0,0,0,0,0,0,0,0,0,0,0,3
folder_2016-10-18_file_525 day3_1-exported,0,0,0,0,0,0,0,0,0,0,0,3
folder_2016-10-18_file_525 day3_2-exported,0,0,0,0,0,0,0,0,0,0,0,3
folder_2016-10-18_file_525 day3_3-exported,0,0,0,0,0,0,0,0,0,0,0,3
folder_2016-10-18_file_525 day3_4-exported,0,0,0,0,0,0,0,0,0,0,0,3
folder_2016-10-18_file_525 day3_5-exported,0,0,0,0,0,0,0,0,0,0,0,3
folder_2016-10-18_file_525 day3_6-exported,0,0,0,0,0,0,0,0,0,0,0,3
folder_2016-10-18_file_525 nrx wy778 day3_1-exported,1,0,0,0,0,0,0,0,0,0,0,3
folder_2016-10-18_file_525 nrx wy778 day3_2-exported,1,0,0,0,0,0,0,0,0,0,0,3
folder_2016-10-18_file_525 nrx wy778 day3_3-exported,1,0,0,0,0,0,0,0,0,0,0,3
folder_2016-10-18_file_525 nrx wy778 day3_4-exported,1,0,0,0,0,0,0,0,0,0,0,3
folder_2016-10-18_file_525 nrx wy778 day3_5-exported,1,0,0,0,0,0,0,0,0,0,0,3
folder_2016-10-18_file_525 nrx wy778 day3_6-exported,1,0,0,0,0,0,0,0,0,0,0,3
folder_2016-10-18_file_525 nrx wy778 day3_7-exported,1,0,0,0,0,0,0,0,0,0,0,3
folder_2016-10-18_file_525 nrx wy778 day3_8-exported,1,0,0,0,0,0,0,0,0,0,0,3
folder_2016-10-18_file_525 nrx wy778 day3_9-exported,1,0,0,0,0,0,0,0,0,0,0,3
folder_2016-10-21_file_525 day3_1-exported,0,0,0,0,0,0,0,0,0,0,0,3
folder_2016-10-21_file_525 day3_2-exported,0,0,0,0,0,0,0,0,0,0,0,3
folder_2016-10-21_file_525 nrx wy778 day3_1-exported,1,0,0,0,0,0,0,0,0,0,0,3
folder_2016-10-21_file_525 nrx wy778 day3_2-exported,1,0,0,0,0,0,0,0,0,0,0,3
folder_2016-10-21_file_525 nrx wy778 day3_3-exported,1,0,0,0,0,0,0,0,0,0,0,3
folder_2016-10-21_file_525 nrx wy778 day3_4-exported,1,0,0,0,0,0,0,0,0,0,0,3
folder_2016-10-21_file_525 nrx wy778 day3_5-exported,1,0,0,0,0,0,0,0,0,0,0,3
folder_2016-10-21_file_525 nrx wy778 day3_6-exported,1,0,0,0,0,0,0,0,0,0,0,3
folder_2016-10-21_file_541 day3_1-exported,0,0,0,0,0,0,0,0,0,0,0,3
folder_2016-10-21_file_541 day3_2-exported,0,0,0,0,0,0,0,0,0,0,0,3
folder_2016-10-21_file_541 day3_3-exported,0,0,0,0,0,0,0,0,0,0,0,3
folder_2016-10-21_file_541 day3_4-exported,0,0,0,0,0,0,0,0,0,0,0,3
folder_2016-10-21_file_541 mir-1 day3_1-exported,0,1,0,0,0,0,0,0,0,0,0,3
folder_2016-10-21_file_541 mir-1 day3_10-exported,0,1,0,0,0,0,0,0,0,0,0,3
folder_2016-10-21_file_541 mir-1 day3_2-exported,0,1,0,0,0,0,0,0,0,0,0,3
folder_2016-10-21_file_541 mir-1 day3_3-exported,0,1,0,0,0,0,0,0,0,0,0,3
folder_2016-10-21_file_541 mir-1 day3_4-exported,0,1,0,0,0,0,0,0,0,0,0,3
folder_2016-10-21_file_541 mir-1 day3_5-exported,0,1,0,0,0,0,0,0,0,0,0,3
folder_2016-10-21_file_541 mir-1 day3_6-exported,0,1,0,0,0,0,0,0,0,0,0,3
folder_2016-10-21_file_541 mir-1 day3_7-exported,0,1,0,0,0,0,0,0,0,0,0,3
folder_2016-10-21_file_541 mir-1 day3_8-exported,0,1,0,0,0,0,0,0,0,0,0,3
folder_2016-10-21_file_541 mir-1 day3_9-exported,0,1,0,0,0,0,0,0,0,0,0,3
folder_2016-10-27_file_525 day3 _1-exported,0,0,0,0,0,0,0,0,0,0,0,3
